x,evmSampleDeltaMs,logDeltaMs,DATA0_pF,DATA1_pF,DATA2_pF,DATA3_pF,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz,
124077,79555.56060000136,79555.58200099878,55.33449929474634,55.30045044941622,Infinity,Infinity,33842760,33853177,0,0,5.042964220046997,5.04451647400856,0,0,
124078,17.95719999819994,59.46329999901354,55.33470531122905,55.30055499599532,Infinity,Infinity,33842697,33853145,0,0,5.042954832315445,5.044511705636978,0,0,
124079,17.923099998384714,61.85039999894798,55.335176210367,55.30071508351913,Infinity,Infinity,33842553,33853096,0,0,5.042933374643326,5.044504404067993,0,0,
124080,20.886101000010967,60.21180000156164,55.33538877097472,55.30055499599532,Infinity,Infinity,33842488,33853145,0,0,5.04292368888855,5.044511705636978,0,0,
124081,20.501499000936747,62.09349900111556,55.33449929474634,55.30133910478867,Infinity,Infinity,33842760,33852905,0,0,5.042964220046997,5.044475942850113,0,0,
124082,20.789000000804663,62.2367009986192,55.33475763305865,55.301025459270114,Infinity,Infinity,33842681,33853001,0,0,5.042952448129654,5.044490247964859,0,0,
124083,20.53500000014901,62.176500000059605,55.334970191254506,55.30129009750052,Infinity,Infinity,33842616,33852920,0,0,5.042942762374878,5.044478178024292,0,0,
124084,20.66609999909997,62.18530000001192,55.33486554706657,55.30129009750052,Infinity,Infinity,33842648,33852920,0,0,5.04294753074646,5.044478178024292,0,0,
124085,20.78150099888444,62.27390000037849,55.3352285328645,55.30076735714685,Infinity,Infinity,33842537,33853080,0,0,5.042930990457535,5.044502019882202,0,0,
124086,20.76430100016296,62.127299999818206,55.334446973283164,55.30071508351913,Infinity,Infinity,33842776,33853096,0,0,5.042966604232788,5.044504404067993,0,0,
124087,20.731500001624227,62.23180000111461,55.33439138180982,55.30018908426553,Infinity,Infinity,33842793,33853257,0,0,5.042969137430191,5.044528394937515,0,0,
