x,evmSampleDeltaMs,logDeltaMs,DATA0_pF,DATA1_pF,DATA2_pF,DATA3_pF,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz,
185930,922744.7051009983,922765.6278000027,55.29621656209643,55.24711810320268,Infinity,Infinity,33854473,33869513,0,0,5.0447095930576324,5.046950727701187,0,0,
185931,18.051500000059605,59.41369999945164,55.29621982879735,55.24690605100465,Infinity,Infinity,33854472,33869578,0,0,5.0447094440460205,5.046960413455963,0,0,
185932,20.761399999260902,52.079099997878075,55.29595196028341,55.2467527217143,Infinity,Infinity,33854554,33869625,0,0,5.0447216629981995,5.046967417001724,0,0,
185933,18.791400000452995,57.21860000118613,55.29668697000908,55.24669726234094,Infinity,Infinity,33854329,33869642,0,0,5.044688135385513,5.046969950199127,0,0,
185934,20.787998996675014,62.11019899696112,55.29684377398056,55.24727143401413,Infinity,Infinity,33854281,33869466,0,0,5.04468098282814,5.046943724155426,0,0,
185935,18.138198997825384,59.50150000303984,55.29679150591595,55.2467527217143,Infinity,Infinity,33854297,33869625,0,0,5.044683367013931,5.046967417001724,0,0,
185936,20.68969900161028,62.22480000182986,55.29705284698004,55.246436278175715,Infinity,Infinity,33854217,33869722,0,0,5.044671446084976,5.046981871128082,0,0,
185937,20.802799999713898,62.23800100013614,55.29726192116527,55.246596130757446,Infinity,Infinity,33854153,33869673,0,0,5.044661909341812,5.046974569559097,0,0,
185938,20.975399997085333,70.19439999759197,55.29668697000908,55.24690605100465,Infinity,Infinity,33854329,33869578,0,0,5.044688135385513,5.046960413455963,0,0,
185939,9.885000001639128,51.23270000144839,55.29668697000908,55.247170300854066,Infinity,Infinity,33854329,33869497,0,0,5.044688135385513,5.046948343515396,0,0,
185940,18.843899998813868,62.70169999822974,55.29731745669501,55.24690605100465,Infinity,Infinity,33854136,33869578,0,0,5.044659376144409,5.046960413455963,0,0,
185941,12.969299998134375,58.95320000126958,55.296951577097836,55.247065905625284,Infinity,Infinity,33854248,33869529,0,0,5.044676065444946,5.046953111886978,0,0,
185942,18.509698998183012,52.46019899845123,55.29668697000908,55.247065905625284,Infinity,Infinity,33854329,33869529,0,0,5.044688135385513,5.046953111886978,0,0,
